date,NVDA,AVGO,MSFT,META,JPM,XLF,XOM,SPY
2024-07-09,131.0172272,170.1313477,451.5795898,526.4660034,199.2579651,40.50305176,103.2219467,542.9660034
2024-07-10,134.5374756,171.2483673,458.1733704,531.1247559,199.4211121,40.65827179,104.1337585,548.3389893
2024-07-11,127.0482101,167.4458923,446.8234863,509.281311,199.0852051,40.97841644,105.3712387,543.6108398
2024-07-12,128.8831329,166.9276428,445.6933594,495.5434875,196.6764374,41.11422729,105.3898392,547.0397339
2024-07-15,128.0853577,168.2556305,446.0963135,492.851593,201.5803833,41.7157135,107.19487,548.5440674
2024-07-16,126.0110626,166.2533264,441.7331543,486.5240784,205.006424,42.191082,107.9671249,551.7969971
2024-07-17,117.6641769,153.1006622,435.8370972,458.9093933,208.1253815,42.51122665,109.4558182,544.0601807
2024-07-18,120.7556152,157.5568695,432.7416687,472.6770325,201.5131836,41.99705505,110.5351181,539.8792725
2024-07-19,117.6043625,154.4453735,429.538147,473.6107178,201.3212738,41.57019424,107.9950485,536.2941284
2024-07-22,123.1988602,158.0868988,435.2671814,484.1499939,201.8011017,41.80303192,107.2506866,541.8233032
2024-07-23,122.2514877,160.7468719,437.1440735,485.4313965,201.8490906,41.88064575,105.5201111,540.9734497
2024-07-24,113.9345093,148.5463104,421.4703064,458.1942139,200.179245,41.30826187,107.0087967,528.713562
2024-07-25,111.9699478,146.5047302,411.1522827,450.3866272,200.256012,41.46348572,109.2604294,525.9587402
2024-07-26,112.7477951,148.8309631,417.9032593,462.5946655,203.6820831,42.11346817,109.1673889,531.8493042
2024-07-29,111.2818604,147.446991,419.3379517,462.6045837,202.348114,42.05526352,108.0229645,532.1619263
2024-07-30,103.4435654,140.8706818,415.5939941,460.1014709,206.5131226,42.54032898,109.9489441,529.4657593
2024-07-31,116.696846,157.7138977,411.1031799,471.6637573,204.2194824,42.43361664,110.3397217,538.0719604
2024-08-01,108.9084244,144.306076,409.8845825,494.421051,199.574646,41.83212662,108.8138199,530.4523315
2024-08-02,106.9737701,141.1651306,401.4139404,484.8850098,191.1102753,40.80379868,108.748703,520.5762939
2024-08-05,100.1726227,139.4572449,388.3049622,472.5578003,187.0412445,39.620224,106.7854767,505.4151611
2024-08-06,103.9621277,141.2633057,392.6877747,490.7953796,192.2619019,40.26051331,106.217926,510.0747986
2024-08-07,98.6368866,133.7545166,391.5281982,485.6598816,192.3194733,40.30902481,107.6321793,506.6654663
2024-08-08,104.6801376,143.0497131,395.714386,506.231781,195.8318787,40.95901108,109.6884155,518.3781738
2024-08-09,104.4607544,145.5231476,398.9867249,514.3174438,197.5017242,41.13364029,110.5816422,520.6640625
2024-08-12,108.718956,145.8765106,399.7630615,512.5096436,197.8760223,40.92020798,110.721199,520.9376831
2024-08-13,115.8192902,153.2773438,406.8383179,525.0157471,199.5554504,41.25975418,109.6605072,529.5047607
2024-08-14,117.7539444,154.7790985,409.6389465,523.2475586,201.7626953,41.76422119,110.674675,531.175293
2024-08-15,122.520752,163.063324,414.4824219,533.7470093,203.0198822,42.1522789,111.3593674,540.2796631
2024-08-16,124.2359772,162.6608582,411.9622803,523.9030762,205.3423004,42.46271515,110.8341293,541.4910889
2024-08-19,129.6410217,164.6141205,414.9746399,525.7507935,206.7626495,42.6955452,111.1717911,546.6685181
2024-08-20,126.8986206,162.8866119,418.1938171,523.2177734,205.8701477,42.55973053,107.4669952,545.779541
2024-08-21,128.1451721,162.7197418,417.5440979,531.5915527,205.9468994,42.49182129,106.7823029,547.6550903
2024-08-22,123.3983002,159.3432617,409.087616,528.3829956,207.8950653,42.73435593,107.6076889,543.3568726
2024-08-23,129.0127411,163.2890625,410.3084106,524.4793091,209.5073242,43.10300827,109.0989609,549.130188
2024-08-26,126.1108017,156.6734772,407.0596619,517.6450806,210.3326416,43.23882675,111.4344025,547.821228
2024-08-27,127.9457245,158.4107971,407.4042358,515.6386719,211.3019104,43.46195221,110.3745575,548.5733643
2024-08-28,125.2631531,155.2600555,404.2146301,513.3340454,212.367157,43.56867218,109.2865601,545.3887939
2024-08-29,117.2652817,154.0331421,406.6954346,514.7643433,213.250061,43.95672226,110.796608,545.437561
2024-08-30,119.0403748,159.8144073,410.6529541,517.8338013,215.7356262,44.37388229,110.6184082,550.6443481
2024-09-03,107.7017746,149.9695435,403.0726929,508.3475647,211.4170685,44.04403305,108.3017426,539.3126831
2024-09-04,105.9167023,151.2750092,402.5410461,509.3209839,210.4861755,44.09254456,106.9792633,538.2087402
2024-09-05,106.9139557,149.9990082,402.0389709,513.4135132,208.8547516,43.60746765,106.1445236,536.8997192
2024-09-06,102.5460434,134.4710083,395.453125,496.9341736,203.893219,42.96718979,105.6474304,527.8637085
2024-09-09,106.1759949,138.2205353,399.4105225,501.4240417,208.0677795,43.60746765,107.8703079,533.7736816
2024-09-10,107.8014832,145.4741211,407.7586975,501.4240417,197.2714081,43.16121674,103.9404144,536.0987549
