ticker,benchmark,n_return_pairs,window_start,window_end,beta,alpha_daily,corr,status
NVDA,SPY,548,2024-07-10,2026-09-15,2.006248975,-0.0003388395797,0.7016383196,ok
AVGO,SPY,548,2024-07-10,2026-09-15,1.998569981,4.569006715032841e-05,0.6214129746,ok
MSFT,SPY,548,2024-07-10,2026-09-15,0.9308144671,-0.0003900085576,0.5476461652,ok
META,SPY,548,2024-07-10,2026-09-15,1.359768039,-0.0003852640849,0.5955142756,ok
JPM,SPY,548,2024-07-10,2026-09-15,0.9161195537,0.0004845043352,0.6109444678,ok
XLF,SPY,548,2024-07-10,2026-09-15,0.7765292449,0.000147053616,0.7364917655,ok
XOM,SPY,548,2024-07-10,2026-09-15,0.2015787565,0.0007806882881,0.1352993801,ok
