date,BTC,ETH,NVDA,AVGO,MSFT,META,JPM,XLF,XOM
2025-08-13,123436,4753.5,181.1457672,306.8417358,515.484375,777.5316162,285.0762634,51.95374298,103.605217
2025-08-14,118325,4546.4,181.574707,308.9661865,517.3657227,779.5748901,288.6381531,52.19992447,103.3933868
2025-08-15,117347,4440.4,180.0085449,304.1117554,515.0783691,782.6647949,285.0370178,51.65832901,103.4905624
2025-08-18,116164,4313.6,181.5647278,303.5359802,512.0384521,764.8631592,286.0574951,51.69771957,103.7140884
2025-08-19,112828,4073.7,175.2103271,292.7648926,504.7801819,749.0249634,285.2038574,51.79618454,104.3943634
2025-08-20,114249,4337.4,174.9709167,289.0520935,500.7698669,745.2772827,286.7541504,52.06206512,105.4731064
2025-08-21,112447,4226.5,174.5519257,287.4934998,500.1251526,736.6854858,285.9986267,51.89466095,106.1533966
2025-08-22,116963,4834.8,177.5545807,291.8615112,503.0907593,752.3242188,290.6790466,52.75136948,108.1456528
2025-08-25,110144,4374.7,179.3701324,292.0898132,500.1449585,750.8391113,289.3642578,52.44610214,108.5926895
2025-08-26,111817,4598.1,181.3253174,295.8423157,497.9430847,751.6364746,292.965332,52.84983826,108.3497314
2025-08-27,111273,4505.5,181.1557465,298.0660706,502.6047668,744.9385376,293.6620178,52.95815659,109.5742493
2025-08-28,112605,4509.6,179.7292328,306.4049072,505.4810791,748.656189,295.4184265,53.02708817,110.157341
2025-08-29,108330,4358.5,173.753891,295.2268677,502.5551453,736.2867432,295.7618713,53.16494751,111.0708694
2025-09-02,111225,4324.7,170.3622131,296.0706482,500.9979553,732.7085571,294.0741577,52.77105713,111.4596024
2025-09-03,111670,4448.2,170.2026062,300.1904907,501.2260742,734.6421509,293.8876953,52.68244171,108.7579041
2025-09-04,110741,4296,171.2400665,303.8734741,503.824707,746.2043457,298.1168213,53.23387909,109.234108
2025-09-05,110646,4304.7,166.6114197,332.4541016,490.9605408,749.9919434,288.8540039,52.25900269,106.1533966
2025-09-08,112035,4304,167.8982544,343.1358032,494.1344604,749.8423462,287.4115906,52.29839706,106.755928
2025-09-09,111563,4310.9,170.3422394,334.2211304,494.3427124,763.1986084,292.2588806,52.52488327,107.5333862
2025-09-10,113954,4349.4,176.8962097,366.8818054,496.2867126,749.5234375,294.898407,52.34763336,109.3312836
2025-09-11,115489,4460,176.7465515,357.0141602,496.9215088,748.4469604,299.8241577,53.20433426,108.9814301
2025-09-12,116023,4713.5,177.394989,357.2523499,505.7389221,753.1216431,301.1488342,52.97784805,109.0008698
2025-09-15,115370,4526.4,177.3251801,361.4416809,511.1543884,762.2019043,303.1014099,52.85968399,109.1855164
2025-09-16,116761,4501.5,174.4620361,357.3814087,504.8859558,776.4552002,303.3859863,52.74151993,111.4498901
2025-09-17,116466,4590.8,169.8829803,343.6520691,505.8579407,773.1858521,305.8979492,53.25357437,112.0427094
2025-09-18,117110,4588.9,175.8187866,342.8380127,504.3008118,777.7010498,307.3501587,53.30281067,110.7210083
2025-09-19,115674,4471.4,176.2477417,342.4309692,513.7033691,775.8372192,308.8710632,53.42097473,109.6422806
2025-09-22,112638,4197.3,183.1711578,336.9019775,510.2518921,763.1751099,306.5750122,53.34984207,108.8647995
2025-09-23,111976,4162.7,178.00354,337.0511169,505.0744324,753.4404297,306.8693542,53.11272812,110.740448
2025-09-24,113277,4151.5,176.5470276,337.4190674,505.986908,758.6867676,307.5366516,52.96453857,111.3332596
2025-09-25,108962,3872.4,177.2653046,334.2269592,502.8923645,746.9672241,307.56604,52.82622528,112.3342514
2025-09-26,109614,4030.8,177.7640991,332.6656799,507.2861938,741.8206787,310.1270142,53.21152878,113.918335
2025-09-29,114274,4213.6,181.4153595,326.0726624,510.4005432,741.4715576,309.7639771,53.47827911,111.0028458
2025-09-30,114036,4143.6,186.1340637,328.0714111,513.7232666,732.4749756,309.5088501,53.22140884,109.5742493
2025-10-01,118572,4346,186.7924805,331.5320435,515.4689331,715.479126,304.8774719,52.74718475,108.8356476
2025-10-02,120516,4483.7,188.4385376,336.2953491,511.531311,725.1639404,301.7767639,52.7076683,108.155365
2025-10-03,122266,4512.7,187.1715851,336.4842834,513.1281128,708.7167358,304.2102356,53.07321548,110.0698853
2025-10-06,124711,4686,185.0965424,333.6203613,524.2565918,713.8035278,304.8511047,53.05345535,110.9834061
2025-10-07,121401,4450.7,184.5977325,334.5352173,519.7039795,711.2302246,303.382019,53.122612,111.0417175
2025-10-08,123385,4528.7,188.6580048,343.5745239,520.5668945,715.9779053,299.7732239,52.86574173,110.8084793
2025-10-09,121615,4369.2,192.1097412,343.0971985,518.1369629,731.6072388,301.2521973,52.67803192,109.729744
2025-10-10,112761,3822.3,182.722229,322.8208618,506.7902832,703.4703979,296.6772156,51.53199768,107.611145
2025-10-13,115124,4238.9,187.8699036,354.7121582,509.855072,713.8433838,303.6580811,52.02597809,109.0786133
2025-10-14,113020,4124.8,179.5997162,342.2121887,509.3790283,706.8117065,297.8505249,52.59899521,109.1271973
2025-10-15,110730,3983.7,179.400177,349.3720398,509.2401428,715.6885986,301.4100037,52.59899521,108.4663544
2025-10-16,108221,3893,181.3754425,352.1763306,507.434967,710.2228394,294.3600769,51.1368103,107.523674
2025-10-17,106396,3830.7,182.7820892,347.3832092,509.3888855,715.0602417,293.3938293,51.55175781,109.0786133
2025-10-20,110479,3978.1,182.2034607,347.2937317,512.5727539,730.2706909,298.1265869,52.15441132,109.52565
2025-10-21,108245,3870.3,180.7270203,340.7503967,513.4356079,731.3678589,292.9303589,52.09513474,109.5353699
2025-10-22,107528,3803.6,179.8491211,338.4035339,516.2921143,731.5074463,289.9921265,51.79874802,111.4790421
2025-10-23,110063,3857,181.7246399,342.3713074,516.3118896,732.0959473,290.4161072,51.90742111,112.7132721
2025-10-24,111060,3935.9,185.8148041,352.1564636,519.3370972,736.4445801,296.23349,52.47055817,112.1398849
2025-10-27,114111,4119.8,191.0323334,360.0322876,527.1824951,748.8723145,299.8915405,52.68791199,112.674408
2025-10-28,112864,3978,200.5495148,370.8914795,537.6463623,749.4907227,301.0845947,52.352005,111.7900162
2025-10-29,110102,3902,206.5451508,383.8289795,537.1306152,749.7200928,301.2325134,51.46284103,113.1700363
2025-10-30,108360,3803.7,202.4050598,374.3719788,521.4694824,664.7410889,305.1075134,51.60115433,111.4596024
2025-10-31,109587,3846,202.0060425,367.5700989,513.5844116,646.6680908,306.7639771,51.73946381,111.1389008
2025-11-03,106527,3602.4,206.3855438,360.5295105,512.810791,636.0557251,305.0187683,51.52211761,110.5557938
2025-11-04,101460,3285.9,198.2151184,349.9786682,510.132782,625.692688,304.920166,51.78886414,110.925087
2025-11-05,103925,3423.7,194.7434387,356.9794312,503.0213013,634.300293,307.3161011,51.96669769,110.4780502
2025-11-06,101313,3313.5,187.6304779,353.6083374,493.043396,617.3344116,309.0317993,51.77898788,111.2749557
2025-11-07,103300,3434.9,187.7003021,347.482666,492.765686,620.097229,309.8106689,52.14453125,113.918335
2025-11-10,106015,3568.1,198.5742493,356.3927307,501.8707886,630.1212158,312.4532166,52.33224487,114.8901749
2025-11-11,103034,3416.2,192.698349,349.9985657,504.5289001,625.4533081,311.2009583,52.5693512,116.4062424
2025-11-12,101623,3413.2,193.3368225,353.240387,506.9688416,607.4301758,315.9239197,53.02381134,114.7929916
2025-11-13,99735,3231.3,186.4133911,338.0853271,499.1828918,608.3079224,305.1469421,52.34212112,115.4441223
2025-11-14,94634,3112.9,189.7154694,340.5514832,506.0166321,607.8790283,299.3591003,51.81850433,116.9440308
2025-11-17,92272,3033,186.154007,340.7404175,503.3486328,600.4483643,296.1644592,50.83054352,115.3656845
2025-11-18,92972,3124.8,180.9265442,338.602417,489.7604065,596.1395874,295.2178955,50.75150681,116.6891403
2025-11-19,91554,3025.5,186.0742035,352.4448547,483.1448364,588.7886353,299.0238647,50.93922043,115.0421829
2025-11-20,86650,2834.5,180.208252,344.887207,475.4138794,587.6217041,294.2023315,50.49464035,114.7186661
2025-11-21,85111,2764.7,178.4524841,338.3041382,469.1436462,592.7084961,293.8473511,51.04789352,114.7774963
2025-11-24,88232,2952.5,182.1137085,375.8536377,471.0118103,611.4596558,293.8276672,51.26524734,113.6893234
2025-11-25,87332,2959,177.394989,382.8842468,473.9829712,634.5695801,298.7576294,51.90742111,112.2580338
2025-11-26,90420,3025.8,179.8291779,395.3543701,482.4393311,631.9663696,303.3327026,52.31248474,112.5129166
2025-11-28,90842,3030,176.5769501,400.714325,488.9082947,646.269165,308.6965332,52.68791199,113.6402969
2025-12-01,86216,2797.5,179.489975,383.9284058,483.6714783,639.2075195,304.5947876,52.25320816,114.3363419
2025-12-02,91237,2994.6,181.0263062,379.443573,486.9109497,645.4213867,303.5693359,52.20380783,113.1109238
2025-12-03,93395,3187,179.1607666,378.4888916,474.7182922,637.9408569,307.7598267,52.90526199,115.4833374
2025-12-04,92034,3131.7,182.9519043,378.9065857,477.8087158,659.8139648,311.6742554,53.0139389,114.8363113
2025-12-05,89294,3020.4,181.9841614,388.0652161,480.1140747,671.6730957,310.6290894,53.03369522,114.2481155
2025-12-08,90594,3125.4,185.1168213,398.8647156,487.9244995,665.0702515,310.7966919,52.83610153,113.6991272
2025-12-09,92654,3317.8,184.5381927,404.0257874,488.9182129,655.2557983,296.3025208,52.63851166,115.9244843
2025-12-10,91961,3323.7,183.3509521,410.6685791,475.5430603,648.4434814,305.7680969,53.24116898,117.1891174
2025-12-11,92481,3239.8,180.5075989,404.1053162,480.4221497,651.0168457,312.9363098,54.20936584,117.1891174
2025-12-12,90228,3086.3,174.6114044,357.9241333,475.5132751,642.5587769,314.0603333,54.28840637,116.4832687
2025-12-15,86427,2964.3,175.8784332,337.9162598,471.8266602,646.3570557,315.5393677,54.32792664,115.4441223
2025-12-16,87814,2961.4,177.3051147,339.3979797,473.3867798,655.9798584,311.131897,53.98213577,112.4246902
2025-12-17,86210,2832,170.5409393,324.203125,473.1184387,648.3435059,310.5699463,53.97225952,115.1010056
2025-12-18,85477,2827.3,173.7334595,328.0415955,480.9289246,663.2669067,308.6176453,53.88334274,114.2481155
2025-12-19,88092,2978.2,180.5674744,338.4631958,482.8566895,657.5969849,312.7686768,54.17972946,114.3951645
2025-12-22,88573,3008.4,183.2611542,340.1968384,481.8629761,660.3220825,318.5663452,54.8449707,115.8264465
2025-12-23,87459,2963.3,188.7682953,348.0379333,483.7807922,663.7559814,321.3666077,54.95402527,117.0714722
2025-12-24,87653,2946.7,188.1696777,348.9346313,484.9434204,666.3613892,324.5612488,55.25144958,116.8754044
2025-12-26,87339,2926.7,190.0851898,350.837616,484.6354065,662.1088867,323.3188782,55.1423912,116.7675629
2025-12-29,87228,2936.9,187.7805939,348.1076965,484.0292358,657.5171509,319.2171326,54.8449707,118.1596451
2025-12-30,88466,2973.1,187.1021729,348.565979,484.4068604,664.7642212,318.8917542,54.70616913,118.6105957
2025-12-31,87632,2972,186.064621,344.8297424,480.571167,658.9146729,317.7085571,54.29969025,117.9733734
2026-01-02,89932,3123.7,188.4091187,346.3441467,469.9584961,649.2518921,320.9229431,54.4583168,120.2379532
2026-01-05,93832,3223.5,187.6808319,342.1596069,469.8690796,657.6169434,329.3630676,55.64801407,122.8946533
2026-01-06,93801,3295.9,186.802887,342.5083008,475.4933777,659.4437256,331.413269,55.91569901,118.6694183
2026-01-07,91373,3167.7,188.6685028,342.2392883,480.4221497,647.5349731,323.8660889,55.13248062,116.1597595
2026-01-08,91079,3107.7,184.608017,331.2597351,475.0959167,644.9096069,326.6393433,55.41999054,120.4928436
2026-01-09,90650,3088.2,184.4284363,343.7039185,476.2585449,651.8970947,326.0450745,55.25144958,122.1594086
2026-01-12,91249,3094,184.508255,350.9173279,474.1717529,640.8269043,321.3899536,54.81522751,121.5908127
2026-01-13,95374,3324.7,185.3762207,353.3085022,467.7028198,629.9663086,307.9297791,53.764328,124.0514526
2026-01-14,96917,3354.5,182.7124481,338.6425781,456.4840088,614.4240112,304.9287415,53.68501663,127.6394653
2026-01-15,95588,3318.2,186.613327,341.7610474,453.7811279,619.6945801,306.305481,53.90312576,126.5905228
2026-01-16,95586,3296.4,185.7952271,350.4191589,456.9609375,619.1455688,309.4848022,53.97252274,127.335556
2026-01-20,88404,2938.9,177.6542816,331.379303,451.6546021,603.0443115,299.8477478,52.74317551,127.894371
2026-01-21,89401,2981.4,182.8920441,327.5932312,441.3102112,611.8685913,299.15448,53.00093842,130.9824219
2026-01-22,89500,2951.1,184.4084778,324.2953796,448.2959595,646.4768066,300.729248,53.34793472,131.0118256
2026-01-23,89552,2954.9,187.2318726,318.8753357,463.0125732,657.5870361,294.8757019,52.61428833,132.3156586
2026-01-26,88299,2928.8,186.0346832,323.6577454,467.3152771,671.1627808,298.1640015,52.95137024,132.1882172
2026-01-27,89215,3025.8,188.079895,331.5686035,477.5503235,671.7716675,297.440979,52.54489136,134.1390839
2026-01-28,89276,3009.8,191.0728912,332.0169373,478.5937195,667.5392456,297.8965454,52.53497696,134.8743439
2026-01-29,84641,2821.4,192.0605621,329.5161743,430.7671509,736.9953613,303.4926147,53.090168,137.7467041
2026-01-30,84241,2706.3,190.6837921,330.0840759,427.5773926,715.2241821,302.9676819,52.98110962,138.6192017
2026-02-02,78684,2345.2,185.1766968,329.8947449,420.7009888,705.1520996,305.1961975,53.56604385,135.6782074
2026-02-03,75731,2232.4,179.9189758,319.1543274,408.6176758,690.4683228,311.8420715,53.07033539,140.9033966
2026-02-04,73147,2147.9,173.7833405,306.9193726,411.5788879,667.7987671,314.2389221,53.49664688,144.6874695
2026-02-05,62894,1825.9,171.4787292,309.3703918,391.1882629,669.0166016,307.1968689,52.83240128,143.2071686
2026-02-06,70516,2062,184.9771423,331.6981506,398.6111755,660.2822266,319.3199463,53.7940712,146.1187744
2026-02-09,70093,2104.1,189.5963287,342.6776733,410.9926147,676.0140991,319.0228271,53.47681808,148.2362976
2026-02-10,68801,2021.9,188.0998383,339.1905212,410.6646423,669.5256958,315.2392883,53.090168,148.6088104
2026-02-11,67059,1941.5,189.6063385,341.5020142,401.8207703,667.4993286,307.8505859,52.28712463,152.5007324
2026-02-12,66244,1946.9,186.5035858,329.9545593,399.3067627,648.6529541,299.7487183,51.24613953,147.9611359
2026-02-13,68822,2047.6,182.3832245,323.976593,398.7900085,638.6308594,299.6595459,51.20648575,146.5005798
2026-02-17,67480,1990.9,184.5381927,331.319519,394.3581238,638.1516113,304.1958008,51.75175858,144.2702637
2026-02-18,66436,1954.9,187.5411377,332.2859497,397.0808411,642.074646,305.8300476,52.13841248,148.7012939
2026-02-19,66981,1948.3,187.4613342,332.7641907,396.8517761,643.631897,305.1070251,51.7021904,148.9874878
2026-02-20,67980,1968.1,189.3768616,331.4291077,395.6267395,654.4924927,307.8208618,52.03927231,145.3459473
2026-02-23,64631,1855.6,191.102829,329.127594,382.9182434,636.1152954,294.8262329,50.29438019,148.7802429
2026-02-24,64015,1850.8,192.3997955,324.2953796,387.4299316,638.1616211,294.4597168,50.54223633,147.299942
2026-02-25,67944,2056.9,195.1034546,331.0903625,398.9831238,652.526062,300.4023743,51.42459488,147.1025696
2026-02-26,67453,2026.7,184.458374,320.5193176,400.0986023,655.8401489,303.2053833,52.04918289,146.5894012
2026-02-27,65837,1928.6,176.7763519,318.3771973,391.1548462,647.0258789,297.4310608,50.9883728,150.4973907
2026-03-02,68774,2026.5,182.0539856,317.6498718,396.9413757,652.3962402,294.7172546,50.85948944,152.194809
2026-03-03,68299,1981.8,179.6296692,312.6881714,402.2996826,653.9135742,297.391449,50.77026367,149.8361969
2026-03-04,72633,2126.6,182.6126862,316.364624,403.5645752,666.5410156,296.5297852,51.05776978,147.8526001
2026-03-05,70828,2072,182.9119873,331.548645,409.0224304,659.3937988,290.7455444,50.79008865,148.7802429
2026-03-06,68082,1977.7,177.4048615,329.2670898,407.3093872,643.711731,286.714447,50.13575745,149.22435
2026-03-09,68389,1992.4,182.223587,344.4810181,407.7575684,646.2373047,287.1502686,49.89781952,148.4644623
2026-03-10,69898,2035.6,184.3386536,341.3226318,404.1223145,652.9053345,285.9716187,49.63013458,146.1847992
2026-03-11,70135,2051.1,185.6057434,340.3163757,403.2458496,653.6939087,284.7731628,49.2137413,149.5894775
2026-03-12,70500,2072.5,182.7223358,334.7369385,400.2380066,637.0436401,280.187439,48.41069794,151.5138702
2026-03-13,70901,2091.6,179.8389435,320.9776306,393.9534912,612.6171875,280.7321472,48.47018433,154.0698547
2026-03-16,74854,2350.9,182.8021545,323.7275085,398.3357544,626.8690186,283.4261475,48.87665939,155.1652832
2026-03-17,73864,2316.1,181.5151062,320.1307373,397.7979431,622.0834351,284.1492004,49.13443375,156.7245331
2026-03-18,71213,2202.4,179.9885864,314.7704468,390.2086792,615.1099243,284.9910278,48.54949951,155.5205536
2026-03-19,69919,2136.9,178.152771,318.6661377,387.4498596,606.1382446,285.2188721,48.56932831,156.0830841
2026-03-20,70474,2145.4,172.3061523,309.3703918,380.3287048,593.1102905,283.8223267,48.65855408,157.5732422
2026-03-23,70860,2151,175.2394409,322.0003967,381.4541931,603.5006714,287.1403198,49.09801102,159.0140839
2026-03-24,70553,2155.4,174.8004456,317.7870483,371.2355652,592.3709717,289.6065369,49.10797501,163.2082672
2026-03-25,71303,2168.1,178.2725067,318.3062134,369.54245,594.3391724,292.5977173,49.16776657,161.1161041
2026-03-26,68806,2059.4,170.8494873,308.9310608,364.4928894,547.032959,288.8735962,48.87877655,163.2575989
2026-03-27,66396,1991.8,167.13797,300.2048645,355.3300476,525.2331543,280.1378784,47.64310837,168.7445984
2026-03-30,66766,2025.5,164.7933197,292.9463501,357.5112,535.8833618,281.0589905,48.19118881,169.2182922
2026-03-31,68244,2104,174.0022583,309.0209351,368.6759644,571.6002197,291.3497314,49.19766235,167.4320526
2026-04-01,68084,2138.5,175.3491821,312.9946289,367.8791809,578.6936646,292.558075,49.26741791,158.6686707
2026-04-02,66866,2055.9,176.9854584,314.052948,371.9526672,573.9281006,291.7855225,49.35710144,158.5798492
2026-04-06,68818,2106.4,177.2348785,313.933136,371.3750305,572.4894409,294.125,49.70588303,161.2246552
2026-04-07,71919,2239.7,177.6938324,333.4422607,370.7874146,574.5175171,296.0662537,49.70588303,161.7575684
2026-04-08,71036,2189.1,181.6647644,350.0759583,372.8191223,611.8529053,306.5888367,51.02127457,154.1685486
2026-04-09,71758,2189.1,183.4906006,354.3491821,371.5642395,627.8081665,308.9382324,51.15082169,153.0040283
2026-04-10,72926,2244.1,188.1998291,370.9628601,369.3731079,629.2767334,308.4803162,50.59277344,150.5072632
2026-04-13,74387,2368.2,188.8782654,379.1499329,382.818634,633.9425049,312.2732239,51.47966766,150.6355591
2026-04-14,74098,2320.9,196.0618439,380.1782837,391.5233459,661.8765259,309.7247009,51.59924698,147.2802124
2026-04-15,74774,2358.3,198.4164734,396.0931091,409.5602722,670.9581909,304.5579834,51.98788452,147.0532227
2026-04-16,75130,2347.4,197.8976593,397.8403625,418.5637817,676.2432251,308.559967,51.84837341,149.9842224
2026-04-17,77021,2417.1,201.220047,405.8976135,421.0835876,687.9124146,308.8984375,52.24697876,144.516983
2026-04-20,75802,2312.1,201.5991821,398.9985046,416.3826294,670.2887573,315.5683899,52.44628143,145.7406769
2026-04-21,76288,2326.3,199.4241791,401.5345154,422.4480286,668.2207031,311.596283,52.11743164,146.4117737
2026-04-22,78137,2372.7,202.0381927,421.9821167,431.172699,674.0952148,311.6161804,52.02774811,147.5367889
2026-04-23,78226,2328.9,199.1847076,419.2764282,414.071991,658.5396729,310.2921753,51.61917877,148.5532684
2026-04-24,77402,2313.8,207.7950287,422.09198,422.906189,674.4049683,306.8974609,51.24050522,146.9545441
2026-04-27,77320,2302.3,216.1160126,417.5391846,423.1053772,677.9916382,310.2324219,51.62914658,146.243988
2026-04-28,76297,2288.8,212.6838531,399.1981812,427.5174866,670.7183838,310.0532532,51.66900253,148.5828705
2026-04-29,75727,2251.5,208.7727966,404.8093262,422.7468262,668.5004272,307.8630981,51.73875809,152.6389008
2026-04-30,76300,2256.4,199.1148682,416.7703857,406.1341553,611.3433838,311.8252563,51.94802856,152.3033752
2026-05-01,78189,2294.7,197.9974365,420.6142883,412.7672729,608.1863403,311.0686646,51.73875809,150.7441254
2026-05-04,79803,2346,198.0273438,415.8418579,411.9505615,609.8447876,306.2702637,51.39994812,151.6717682
2026-05-05,80862,2359.3,196.0518646,426.6846924,409.7196045,604.3998413,308.0124207,51.40991211,152.8461609
2026-05-06,81401,2350.2,207.3560333,424.7677307,412.2891846,612.3125,313.4877625,51.65903854,146.737442
2026-05-07,79992,2290.6,211.0176697,411.9080811,419.0717163,616.2388306,304.8964539,51.37005234,144.6551361
2026-05-08,80152,2306.8,214.7092285,429.3205261,413.444519,609.0654907,300.7451782,51.06113434,142.6715393
2026-05-11,81703,2339,218.9395599,427.7529907,410.9944458,598.305481,298.6545715,51.00134277,147.7144165
2026-05-12,80459,2273.7,220.2765045,418.6374207,406.124176,602.4416504,303.5126953,51.39994812,148.6519623
2026-05-13,79283,2258,225.3149872,416.1314087,403.5745239,616.059021,298.9034729,50.8120079,149.5796204
2026-05-14,81044,2282.1,235.2023926,439.0950623,407.7774658,617.8573608,298.5650024,51.11096191,150.7737122
2026-05-15,79063,2223.3,224.8061523,424.5181274,420.2170715,613.6612549,296.4743958,50.92162323,156.9040222
2026-05-18,76984,2129.7,221.8130035,420.0451965,421.8305664,610.644043,299.3813171,51.55939102,159.457489
2026-05-19,76806,2110.8,220.1068878,410.4204407,415.73526,602.052002,294.3738708,50.92162323,161.5042419
2026-05-20,77533,2129.1,222.9603729,417.099884,419.3605347,604.4997559,300.6257324,51.47966766,155.2745667
2026-05-21,77587,2133.1,219.0093994,413.914917,418.3025208,606.8175659,301.6411438,51.54942322,154.2909393
2026-05-22,75500,2064.8,214.8389282,413.4855957,417.7835388,609.6949463,305.0059814,51.75868988,153.9233246
2026-05-26,75894,2072.6,214.3700104,421.3431702,415.248291,611.7730103,305.3643494,51.66900253,148.8461914
2026-05-27,74420,2023.9,212.1151581,421.1933594,411.8946228,634.671814,297.9378052,51.24050522,146.9484863
2026-05-28,73587,2009.2,213.7613983,425.9059143,426.1876831,634.7017212,295.3992615,51.09103012,146.0145416
2026-05-29,73431,2013.7,210.658493,446.0640259,449.3940125,631.9243164,297.9676819,51.39994812,144.32547
2026-06-01,71411,2006.9,223.8483429,459.2431641,459.6546936,599.9139404,295.2499084,51.25047302,148.4189758
2026-06-02,66732,1859,222.3118439,480.8090515,440.4807739,597.0765991,299.61026,51.28036499,148.5978088
