coin,mid_px,mark_px,oracle_px,funding,open_interest,day_ntl_vlm,premium,prev_day_px,universe_index,funding_snapshot,funding_last_history,funding_last_history_time_utc,funding_history_n_72h,funding_mean_72h,funding_ann_naive_snapshot,oi_history_public,oi_history_note,oi_notional,snapshot_captured_at
BTC,76359.5,76364,76398,9.4345e-06,37882.48756,3058936877,-0.0003966072,75837,0,9.4345e-06,9.8194e-06,2026-09-17T01:00:00.065Z,72,1.1608930555555556e-05,0.0103307775,false,Hyperliquid public /info has no OI history; OI is snapshot-only (metaAndAssetCtxs).,2892858280,2026-09-17T01:22:22.964Z
ETH,2421.65,2421.66,2422.61,1.25e-05,980690.8726,1374830013,-0.0003756279,2402.7,1,1.25e-05,1.25e-05,2026-09-17T01:00:00.065Z,72,7.629981944444444e-06,0.0136875,false,Hyperliquid public /info has no OI history; OI is snapshot-only (metaAndAssetCtxs).,2374899859,2026-09-17T01:22:22.964Z
